,donor_id,churn_date
16860,-8798356620458028835,2019-11-1
16896,-8797699684050281908,2017-11-13
16906,-8797699684050281908,2018-10-13
16912,-8796311210783461512,2001-8-9
16913,-8796311210783461512,2002-8-9
16914,-8796311210783461512,2003-8-9
16950,-8795134640124505982,2020-2-27
16960,-8794190149056004993,2014-11-19
16993,-8793381211377388440,2003-5-17
17002,-8790669586971333559,2020-3-1
17006,-8790039272165163231,2002-1-15
17007,-8790039272165163231,2004-7-14
17008,-8790039272165163231,2005-7-14
17009,-8790039272165163231,2006-7-14
17010,-8790039272165163231,2007-7-14
17011,-8790039272165163231,2008-7-14
17012,-8790039272165163231,2009-7-14
17013,-8790039272165163231,2010-7-15
17014,-8790039272165163231,2011-7-15
17015,-8790039272165163231,2012-7-15
17016,-8790039272165163231,2013-7-15
17017,-8790039272165163231,2014-7-15
17018,-8790039272165163231,2015-7-15
17019,-8790039272165163231,2016-7-15
17020,-8790039272165163231,2017-7-15
17021,-8790039272165163231,2018-7-15
17022,-8790039272165163231,2019-7-15
17156,-8789590547932289448,2020-2-24
17157,-8788666303750786812,2008-12-20
17162,-8784223363889561397,2017-4-13
17172,-8783271333478206536,2019-4-18
17178,-8783076976306117586,2012-12-25
17182,-8780322197114175804,2019-7-4
17201,-8778960182865772046,2008-9-15
17206,-8778676213148329485,2001-3-21
17207,-8778676213148329485,2002-3-21
17208,-8778676213148329485,2003-3-21
17209,-8778676213148329485,2004-3-21
17210,-8778676213148329485,2005-3-21
17211,-8778676213148329485,2006-3-21
17212,-8778676213148329485,2007-3-21
17213,-8778676213148329485,2008-3-21
17222,-8777559027884817022,2015-7-20
17225,-8773573466371447704,2006-8-21
17230,-8773417352515594086,2020-3-6
17249,-8773381550073645287,2011-3-17
17252,-8773217053771146404,2010-6-25
17269,-8772153055504238613,2016-8-4
17388,-8770913766600223013,2015-2-14
17429,-8770913766600223013,2018-7-11
17435,-8770913766600223013,2020-2-18
17457,-8769464036599952742,2020-1-28
17469,-8769164571483434775,2014-5-22
17605,-8768994357294980000,2020-2-24
17613,-8768150953073668820,2018-4-27
17616,-8767824346916642913,2013-1-26
17627,-8767031963368521761,2009-10-5
17699,-8765762660866673244,2009-12-17
17715,-8765465233100473631,2017-3-27
17721,-8764555512498889614,2009-3-25
17725,-8762891854413941838,2007-2-22
17821,-8762891854413941838,2015-5-22
17834,-8761600188129053737,2012-3-14
17843,-8761391256261414893,2020-1-18
17855,-8761241911527222071,2020-2-16
17858,-8760849704253024585,2020-2-2
17913,-8759726199232722767,2016-5-16
17915,-8758092469692344258,2007-2-27
17993,-8756672079581131242,2013-7-1
18039,-8756629030825213078,2020-3-10
18043,-8755643010765268330,2009-1-29
18071,-8754734837592969594,2020-2-15
18074,-8754711212197503839,2007-5-13
18088,-8754711212197503839,2008-8-13
18094,-8754167082143097660,2011-5-24
18158,-8752934381553828457,2006-1-7
18185,-8749050022970940711,2017-2-23
18230,-8747809110651302510,2020-3-18
18240,-8747777359676908197,2016-5-11
18256,-8742361468157588245,2001-11-19
18368,-8742124095852769584,2020-3-9
18372,-8739636023164527133,2017-9-24
18392,-8738658716797327713,2005-2-20
18393,-8738658716797327713,2006-2-20
18409,-8737562746586313735,2013-12-22
18644,-8737202463372468160,2020-3-17
18677,-8736792024475441002,2020-3-1
18687,-8736576698057428297,2016-12-14
18705,-8736560006750147080,2015-9-11
18722,-8736560006750147080,2017-5-11
18777,-8733660481873500174,2005-3-10
18804,-8733447712095333649,2008-8-26
18809,-8730775367070468625,2010-5-17
18816,-8730775367070468625,2012-5-17
18858,-8729951431852100036,2010-6-29
18936,-8729729019292932051,2013-7-28
18950,-8729729019292932051,2014-10-28
19016,-8727534335849634770,2014-6-26
19019,-8722824285453271384,2020-2-17
19020,-8722325273886457231,2003-11-11
19021,-8722325273886457231,2004-11-10
19022,-8722325273886457231,2005-11-10
19040,-8722325273886457231,2007-10-11
19041,-8721786958831456068,2001-9-15
19042,-8721786958831456068,2002-9-15
19043,-8721786958831456068,2003-9-15
19044,-8721786958831456068,2004-9-15
19045,-8721786958831456068,2006-9-15
19058,-8720650655697487873,2011-2-6
19125,-8719443816240193151,2012-7-27
19130,-8718239992117815994,2019-7-13
19222,-8717815836168878835,2014-10-31
19232,-8717186596167103719,2020-2-24
19234,-8716664953706903242,2018-10-13
19280,-8716119879143123489,2015-3-19
19285,-8715965876117628847,2012-8-15
19291,-8715604998560075855,2007-7-6
19294,-8715604998560075855,2007-11-7
19309,-8715178225195428482,2008-2-28
19334,-8714352734439236777,2020-3-2
19340,-8714181820495153212,2012-5-25
19358,-8713212681931050740,2007-3-21
19392,-8712543503732517980,2013-6-20
19398,-8711696292538322988,2017-11-10
19399,-8711527559409302507,2001-2-12
19400,-8711527559409302507,2002-2-12
19402,-8711527559409302507,2004-2-12
19403,-8711527559409302507,2005-2-11
19404,-8711527559409302507,2006-2-11
19405,-8711527559409302507,2007-2-11
19406,-8711527559409302507,2008-2-11
19407,-8711527559409302507,2009-2-11
19408,-8711527559409302507,2010-2-12
19409,-8711527559409302507,2011-2-12
19410,-8711527559409302507,2012-2-12
19411,-8711527559409302507,2013-2-12
19412,-8711527559409302507,2014-2-12
19413,-8711527559409302507,2015-2-12
19414,-8711527559409302507,2016-2-12
19415,-8711527559409302507,2017-2-12
19416,-8711527559409302507,2018-2-12
19417,-8711527559409302507,2019-2-12
19423,-8709531963741557720,2011-1-14
19473,-8709261087976804988,2009-1-13
19631,-8708832926933556273,2020-1-27
19632,-8708747776498656163,2019-8-28
19674,-8706898497530265804,2004-2-19
19776,-8705565035262259985,2017-3-13
19803,-8705207018490176678,2009-3-25
19889,-8703946083387782920,2020-1-24
19891,-8703823666388371288,2016-7-11
19897,-8703594701363593406,2003-6-16
19902,-8703594701363593406,2004-12-15
19904,-8702220762432181087,2014-4-18
19910,-8702220762432181087,2014-10-18
19936,-8697996738040522987,2011-12-4
